"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 07 13:55:45 GMT 2023","Tue Nov 07 13:55:52 GMT 2023","7178","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 13:54:14 GMT 2023","Tue Nov 07 13:54:22 GMT 2023","8170","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:54:38 GMT 2023","Tue Nov 07 13:54:46 GMT 2023","8061","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:54:22 GMT 2023","Tue Nov 07 13:54:30 GMT 2023","8042","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:55:37 GMT 2023","Tue Nov 07 13:55:45 GMT 2023","7383","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 13:54:57 GMT 2023","Tue Nov 07 13:55:23 GMT 2023","26021","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 13:53:51 GMT 2023","Tue Nov 07 13:54:04 GMT 2023","13744","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:55:30 GMT 2023","Tue Nov 07 13:55:37 GMT 2023","7095","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 13:54:46 GMT 2023","Tue Nov 07 13:54:57 GMT 2023","10636","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 13:54:05 GMT 2023","Tue Nov 07 13:54:14 GMT 2023","8989","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:54:30 GMT 2023","Tue Nov 07 13:54:38 GMT 2023","8043","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 13:55:23 GMT 2023","Tue Nov 07 13:55:30 GMT 2023","7418","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
