"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 07 16:15:43 GMT 2023","Tue Nov 07 16:15:55 GMT 2023","12242","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:15:31 GMT 2023","Tue Nov 07 16:15:43 GMT 2023","12186","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:15:07 GMT 2023","Tue Nov 07 16:15:19 GMT 2023","11571","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:16:41 GMT 2023","Tue Nov 07 16:16:52 GMT 2023","10971","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 16:16:07 GMT 2023","Tue Nov 07 16:16:18 GMT 2023","11480","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 16:16:18 GMT 2023","Tue Nov 07 16:16:30 GMT 2023","11229","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 16:16:52 GMT 2023","Tue Nov 07 16:17:03 GMT 2023","10990","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 16:14:55 GMT 2023","Tue Nov 07 16:15:07 GMT 2023","12200","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:17:03 GMT 2023","Tue Nov 07 16:17:14 GMT 2023","10955","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Tue Nov 07 16:15:55 GMT 2023","Tue Nov 07 16:16:07 GMT 2023","11711","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:15:19 GMT 2023","Tue Nov 07 16:15:31 GMT 2023","11696","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:16:30 GMT 2023","Tue Nov 07 16:16:41 GMT 2023","11321","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
