"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 01 23:23:33 GMT 2023","Wed Nov 01 23:23:44 GMT 2023","11323","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 01 23:23:20 GMT 2023","Wed Nov 01 23:23:26 GMT 2023","6315","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:23:26 GMT 2023","Wed Nov 01 23:23:33 GMT 2023","6298","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:23:14 GMT 2023","Wed Nov 01 23:23:20 GMT 2023","6326","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:24:06 GMT 2023","Wed Nov 01 23:24:13 GMT 2023","7082","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 01 23:23:51 GMT 2023","Wed Nov 01 23:23:58 GMT 2023","7043","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 01 23:23:07 GMT 2023","Wed Nov 01 23:23:14 GMT 2023","6342","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:23:58 GMT 2023","Wed Nov 01 23:24:06 GMT 2023","7308","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 01 23:22:47 GMT 2023","Wed Nov 01 23:23:01 GMT 2023","13975","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:23:01 GMT 2023","Wed Nov 01 23:23:07 GMT 2023","6423","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Wed Nov 01 23:23:44 GMT 2023","Wed Nov 01 23:23:51 GMT 2023","7392","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 01 23:24:13 GMT 2023","Wed Nov 01 23:24:20 GMT 2023","6983","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
